"","Country1","Country2","year","dcaAnyV2","MutualEnemies","MilitaryExpenditure","ArmsTrade","GeoDistance","RegimeSimilarity","BilateralTrade","GDP","MutualDegree","TriadicClosure","PriorDCAs","SharedAlliance"
"1","DZ","AR","1980",0,0,0.27866540702883,1.79175863589521,10158.87,0.034045841409717,4.12082421125761,0.597440873335703,0,0,0,0
"2","DZ","AU","1980",0,0,0.0462665228599815,0.916290631874167,16482.1,0.476223041133764,2.73176672771953,1.26468365295735,0,0,0,0
"3","DZ","AT","1980",0,0,0.248198237621257,2.19722442918808,1636.0105,0.452555520184038,5.66077058406291,0.657642944023124,0,0,0,0
"4","DZ","BE","1980",0,0,0.314897485578592,1.79175863589521,1666.053,0.452745580053469,6.73425601506548,1.09697227196053,0,0,0,0
"5","DZ","BR","1980",0,0,0.371993487153364,3.27714457261483,7797.459,0.0569259367960097,5.29820736049759,1.72384912992122,0,0,0,0
"6","DZ","CA","1980",0,0,0.115226270266061,3.12089525719429,7063.993,0.43161938623742,5.7919154751687,1.87008835089504,0,0,0,0
"7","DZ","CL","1980",0,0,0.880445078904307,15.607270193859,10893.27,0.0597284305689995,0,0.377309042211145,0,0,0,0
"8","DZ","DK","1980",0,0,0.0807934749741694,1.09861217755701,2290.838,0.494433789950779,3.45663205701446,0.514148491071818,0,0,0,0
"9","DZ","EG","1980",0,0,0.836485845583076,1.57553622857452,2642.853,0.0115883037996062,0.476234185207552,0.66994535113334,0,0,0,1
"10","DZ","FR","1980",0,0,0.292294316313158,6.45650781181391,1158.292,0.451414401764282,8.33418334980863,2.79736425280954,0,0,0,0
"11","DZ","HU","1980",0,0,0.336401114680665,0.405465024774848,1803.957,0.0126317469059006,3.93045214089651,0.608569986649009,0,0,0,0
"12","DZ","ID","1980",0,0,0.233314159617934,0.405465024774848,11648.61,0.0144493784272251,0.989541230788468,0.53747298073166,0,0,0,0
"13","DZ","IE","1980",0,0,0.151763224558896,0.405465052552616,2072.9265,0.427534969395196,3.65790462402802,0.666354767898714,0,0,0,0
"14","DZ","IR","1980",0,0,0.715308050359503,1.79175863589521,4303.899,0.0123291292609825,0,0.801271440840608,0,0,0,0
"15","DZ","IQ","1980",0,0,0.741506163286364,1.54044490999478,3754.182,0.0657745905945775,0.113328685307003,0.216256663055557,0,0,0,1
"16","DZ","IL","1980",0,0,1.8596234805579,3.74950391318529,2914.13,0.391015729680939,0,0.513110586042199,0,0,0,0
"17","DZ","IT","1980",0,0,0.115517646645246,5.27470733509549,1059.658,0.415969614570293,7.58298285823913,2.42448687537329,0,0,0,0
"18","DZ","JP","1980",0,0,0.486644059708459,3.32623418251007,10748.46,0.429870964228147,6.81470755988235,3.28355171968343,0,0,0,0
"19","DZ","KW","1980",0,0,0.329795986245486,1.50407726714666,4203.884,0.0214477334774168,0.0392207121917428,0.391105100723447,0,0,0,1
"20","DZ","LY","1980",0,0,0.234627155215767,2.76211726623215,1134.018,0.0559285526592248,2.01290097779143,0.0334222762833001,0,0,0,1
"21","DZ","NO","1980",0,0,0.154135489046354,3.07577482225318,2750.183,0.465210330673456,2.43470924592109,0.419855052508655,0,0,0,0
"22","DZ","NL","1980",0,0,0.198793080990924,4.6249726482516,1804.399,0.452555520184038,6.5386751363234,1.52937992466229,0,0,0,0
